"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\orlfs1\Line"	"151450"	"1608772"	"5815085441741"	"193"	"10606397573"	"1608579"	"5804479044168"	"1608217"	"5788879387255"	"1604588"	"5743192833098"	"1589861"	"5619702036987"	"1525948"	"5199825863459"	"1448062"	"4692933641080"	"1376354"	"4171552999892"	"1152906"	"3522976952506"	"975825"	"3108309217635"	"829440"	"2449337152911"
"\\orlfs1\PCI"	"75"	"466"	"1991962006"	"1"	"1116"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"
"\\orlfs1\PD_DistMgmt"	"40750"	"407553"	"1248896361082"	"6326"	"25833533790"	"401227"	"1223062827292"	"386084"	"1173216274804"	"348351"	"1059759730343"	"308383"	"911044301506"	"270167"	"765058825156"	"214646"	"585842497379"	"143632"	"358419683838"	"58503"	"119129773679"	"27082"	"51121403247"	"14651"	"26265861317"
"\\orlfs1\RAM_120"	"10"	"50"	"1381425"	"0"	"0"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\orlfs1\Reference"	"3"	"190"	"12187794194"	"0"	"0"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"189"	"12187706642"	"189"	"12187706642"	"189"	"12187706642"	"189"	"12187706642"	"2"	"5004105626"
"\\orlfs1\SAS"	"1226"	"12553"	"41834571094"	"3"	"63091543"	"12550"	"41771479551"	"12546"	"41769289997"	"9441"	"18606130666"	"9322"	"17702554206"	"7963"	"10751480850"	"6570"	"6974302315"	"5729"	"6132752001"	"4771"	"3384290846"	"984"	"178332928"	"772"	"134553911"
"\\orlfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\orlfs1\Substation"	"47163"	"590384"	"805327778938"	"1743"	"4597590893"	"588641"	"800730188045"	"579822"	"625114809067"	"567465"	"592510285617"	"544042"	"548604922415"	"508288"	"506763084053"	"458943"	"450739550164"	"413873"	"398730641832"	"356374"	"373135628006"	"309320"	"350773446745"	"280450"	"324768445902"
"\\orlfs1\UpdateManager"	"5918"	"175026"	"29552601089"	"4389"	"4717110454"	"170637"	"24835490635"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\orlfs1\Xchange"	"11"	"34"	"18016383"	"34"	"18016383"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
